text,label
Nan epavum samsung tan pa ,Non_hope_speech
உண்மை போலnஇந்த வைரஸ் பீதியை கிளப்பியதை தந்தி நியூஸ் ல பார்த்தவர்கள் யாருன்னா இருக்கீங்களா ?? ,Non_hope_speech
1min.. 1.1k likes 346 comments MG ,Hope_speech
Bro oru chinna request current updates ku naduvula oru break uh oru interesting video poduga please. ,Non_hope_speech
Happy birthday thalaiva thala DHONI wish you many more happy returns of the day sir nபிறந்த நாள் நல்வாழ்த்துக்கள் எல்லா நலமும் வளமும் பெற்று நீடூழி வாழ்க ,Hope_speech
srilanka karan chinavin s...... ,Non_hope_speech
China vai Oru periya virus ithula g4 verayah ,Non_hope_speech
Summa comment pannan full stop ,Hope_speech
next war start aga podhu nenakravangalam like panunga ... ,Non_hope_speech
Pro poor vanthaa eannavaagum atha pathi oru video poodunga please ,Non_hope_speech
#MIUSER Bro share it ku bathila Share me use panlama...?! ,Non_hope_speech
India la eli vantha...thala vali.....but china la ....sapdrathu thaan ....valiperson facepalming person facepalming person facepalming person facepalming ...kevalam kettavaingala ,Non_hope_speech
Bro 6to7 pm videos upload panunga ,Hope_speech
Tell about WAF Entrepreneurs bro ,Hope_speech
Nanba yennoda channel um pidicha aatharavu thaanga hugging face hugging face ,Non_hope_speech
மகா பிரபு நீங்க இங்கேயும் வந்துடிங்கலா ??? ,Non_hope_speech
Good .. today no add.. ,Non_hope_speech
நன்பா வணக்கம் சைனா பிராண்ட் மொபைல் வேண்டாம் ,Non_hope_speech
Periya alpha beta squad ethu MG squad ahma ,Non_hope_speech
daily oru vdo eppadi bro podringa ? naanga evalo dha yosichalum konjam idea kuda varla... adutha vdo la eppdi daily oru concept pudikkaringannu sollunga bro ,Non_hope_speech
Pubg mattum yaralum uninstall panna mudiyadhu ,Non_hope_speech
மாதிரி பிரச்சினை இல்ல நம்ம வாழனுமா sollu bro ,Non_hope_speech
MG SQUAD NELLAI ,Non_hope_speech
PUBG VS FREE FIRE ,not-Tamil
Perumbalum mobile battery ellam china made taan ,Non_hope_speech
apo bro free fire use pana kuda tha ,Non_hope_speech
Bro ennoda vivo v15 pro Mobile use pannuran ippom enna panna? ,Non_hope_speech
Google in India- va thala va thala va thalanerd face ,Hope_speech
Ayya sqard spelling theriyuma ayya ,Hope_speech
Hike apps safe irukuma ,Hope_speech
saathi saathi nu india people avangalukulayea sanda potutu irukura vara munnerathu bro ,Non_hope_speech
இனி whatsappக்கு பதிலாக Telegram appயி Install செய்து கொள்ளுங்கள் ஏனென்றால் அடுத்து அமெரிக்காவிடம் எதாவது பிரச்சனை என்றால் ,Non_hope_speech
Bro Mi mobile full an full china mobile pa bro appom avan ga details full la yadu ka mattan ga laaa ,Non_hope_speech
En husband south Korea la irukanga ,Hope_speech
@Robert B Weide nstar-struck ,not-Tamil
ஹலால் முறைப்படி சாப்பிட்டால் இப்படி பிரச்சனை இல்லை அவர்களுக்கு ,Non_hope_speech
Milk kodikalam ma ,Non_hope_speech
Q&A session podungha bro Sunday matum ,Hope_speech
Tiktok vara kudhu idhanala niraiya problems creat agudhu... Apdiye vandhalum yarum use pannadhinganTalent vachi famous aanavanga 10% dhan sexual act panni famous aanavanga dhan adhigam...so plz avoid tiktok ,Non_hope_speech
Bro india Vs china missile and attack equipment pathi video podungha.... ,Hope_speech
Bro pala Mura solren slow va pesunga apdi enga avasarama poringa purira mathire nithanama pesunga bro ,Non_hope_speech
Bro india aala mottham 130 codii peru 130 codii perum 130 codii perum india la aa manufacture panni india la a irrunthu india 80%munnavanthurum micham 20% kolai kollai lamjam uuzhal la than poguthu itha correct panna india than NO ,Non_hope_speech
Bro neega epaya vuthu vlog pannigana Indonesia la bali island ah pathi solluga ,Non_hope_speech
Ungaluku appadinga ellam theriyuthu... ,Hope_speech
Boss free fire supera irukum adu singapore game supera irukum ,Hope_speech
Anna hi mg videos ku ,Hope_speech
Bro India la covid vaccine kandu puduchutan nu sonna athu unmaiya ,Hope_speech
Worth video bro....nMikka Nandri......n#tamiltech #tamilselven ,Hope_speech
Therila bro neenga venuna china poi virus kitta kettu vanthu soldringala ,Non_hope_speech
Madhan bro ambani odaa jio neraiya company investment pannurakga avaru eppa Periya millnor ayidar nu sollurikka ethanala investment pannu ra company enna labam varum share investment pathi Konjam theliva oru video pannuga rompa useful la irukum nu nenaikurey ,Hope_speech
ஹிந்துஸ்தான் ராணுவ பலங்களை ரகசியமாக வைத்திருக்க வாய்ப்பு. ஆயுத ஒப்பீடு தவறு ,Hope_speech
Niga itaila oru mistake panidinga ,Hope_speech
chinese app delete pannavanga oru ooo podunga ,Hope_speech
Bro apps ellam uninstall panidalam but phone ah Chinese make a Iruka ,Non_hope_speech
Mobile legends game ,not-Tamil
Whatsapp Ku nagaraja india app ethu ,Non_hope_speech
1min 342 views ,Non_hope_speech
என்னடா நிறைய ஜியோ செயலிய சொல்லுற. ..ஜியோக்கும் மாற்று செயலி சொல்லுடா... ,Non_hope_speech
@Praba Karan Nataraj pencils ,Hope_speech
Bro I use tik tok ,not-Tamil
Bro Chinese apps a Ella delete pannitu Indian app use Panna namma China litavathu beet pannalama ,Non_hope_speech
